source,target,partial_correlation,abs_partial_corr
ULKER,ECILC,0.0216,0.0216
TUPRS,DOHOL,0.021307,0.021307
FROTO,TUPRS,0.021267,0.021267
BERA,BRYAT,0.021203,0.021203
AEFES,KCHOL,0.021139,0.021139
SISE,EKGYO,0.021078,0.021078
VESBE,DOHOL,0.021026,0.021026
TOASO,AYGAZ,0.020983,0.020983
HALKB,GARAN,0.020938,0.020938
PETKM,HALKB,0.020925,0.020925
BRISA,GUBRF,0.020839,0.020839
BRISA,ASUZU,0.020758,0.020758
SASA,THYAO,0.020741,0.020741
TCELL,THYAO,0.020704,0.020704
PAPIL,TTKOM,0.02063,0.02063
TKFEN,GUBRF,0.020615,0.020615
KRDMD,ECILC,0.020582,0.020582
ZOREN,EGEEN,0.020576,0.020576
TKFEN,ALARK,0.020551,0.020551
AGHOL,TAVHL,0.020547,0.020547
TTRAK,ALARK,0.020536,0.020536
MPARK,DOHOL,0.020427,0.020427
BRISA,ECILC,0.02035,0.02035
AGHOL,BRSAN,0.020344,0.020344
TAVHL,ISGYO,0.020226,0.020226
YKBNK,EKGYO,0.020212,0.020212
FROTO,SISE,0.02017,0.02017
SOKM,TKNSA,0.020055,0.020055
BRSAN,ALARK,0.020048,0.020048
VESTL,AKSEN,0.020018,0.020018
SKBNK,GUBRF,0.020001,0.020001
TKFEN,ARCLK,0.019919,0.019919
PGSUS,BERA,0.019844,0.019844
SASA,EGEEN,0.019821,0.019821
ZOREN,AKFGY,0.019766,0.019766
AKSA,ZOREN,0.019726,0.019726
TKNSA,ANHYT,0.019701,0.019701
BRYAT,DOAS,0.019636,0.019636
TURSG,DGATE,0.019619,0.019619
TTKOM,DOHOL,0.019589,0.019589
SASA,ODAS,0.019581,0.019581
CCOLA,KRDMD,0.019523,0.019523
TTKOM,KRDMD,0.019513,0.019513
CIMSA,AKSEN,0.019512,0.019512
MPARK,KRDMD,0.01946,0.01946
TKNSA,BRSAN,0.01945,0.01945
TOASO,TUPRS,0.019429,0.019429
AEFES,THYAO,0.019405,0.019405
AGHOL,VESTL,0.019372,0.019372
TURSG,ASUZU,0.019316,0.019316
ULKER,ANHYT,0.019168,0.019168
ODAS,OTKAR,0.019151,0.019151
ZOREN,DOAS,0.019049,0.019049
BUCIM,ASUZU,0.019027,0.019027
BRISA,BRSAN,0.018994,0.018994
AYGAZ,OTKAR,0.018945,0.018945
BRYAT,ASUZU,0.018889,0.018889
KCHOL,AYGAZ,0.018861,0.018861
FROTO,THYAO,0.018846,0.018846
BERA,BUCIM,0.018771,0.018771
ISGYO,BRSAN,0.018769,0.018769
ARCLK,AKFGY,0.01872,0.01872
LOGO,DOHOL,0.018572,0.018572
AKSA,DOAS,0.018569,0.018569
TURSG,AGHOL,0.018526,0.018526
INDES,ANHYT,0.018523,0.018523
MAVI,TOASO,0.018474,0.018474
TOASO,ECILC,0.018458,0.018458
TKFEN,BERA,0.018397,0.018397
THYAO,ALARK,0.018364,0.018364
EREGL,KCHOL,0.018359,0.018359
HEKTS,HALKB,0.018336,0.018336
AGHOL,VAKBN,0.018295,0.018295
VESBE,GUBRF,0.018286,0.018286
