date,ticker,return_value
2020-11-19,MGROS,
2020-11-19,LOGO,
2020-11-19,ISGYO,
2020-11-19,KCHOL,
2020-11-19,HEKTS,
2020-11-19,HALKB,
2020-11-19,THYAO,
2020-11-19,SOKM,
2020-11-19,TCELL,
2020-11-19,TAVHL,
2020-11-19,SISE,
2020-11-19,SAHOL,
2020-11-19,SKBNK,
2020-11-19,PETKM,
2020-11-19,TKNSA,
2020-11-19,INDES,
2020-11-19,DGATE,
2020-11-19,TUPRS,
2020-11-19,TOASO,
2020-11-19,TTRAK,
2020-11-19,KRDMD,
2020-11-19,ISCTR,
2020-11-19,TTKOM,
2020-11-19,ZOREN,
2020-11-19,OTKAR,
2020-11-20,AEFES,
2020-11-20,AGHOL,
2020-11-20,AKSA,
2020-11-20,EREGL,
2020-11-20,FROTO,
2020-11-20,BTCIM,
2020-11-20,CCOLA,
2020-11-20,PAPIL,
2020-11-20,TURSG,
2020-11-20,TKFEN,
2020-11-20,OYAKC,
2020-11-20,PGSUS,
2020-11-20,SASA,
2020-11-20,MAVI,
2020-11-20,BRYAT,
2020-11-20,AKFGY,
2020-11-20,AGESA,
2020-11-20,AKBNK,
2020-11-20,ASUZU,
2020-11-20,AKSEN,
2020-11-20,ANHYT,
2020-11-20,ALARK,
2020-11-20,ENKAI,
2020-11-20,EGEEN,
2020-11-20,BRSAN,
2020-11-20,CEMTS,
2020-11-20,ECILC,
2020-11-20,DOHOL,
2020-11-20,CIMSA,
2020-11-20,DOAS,
2020-11-20,GARAN,
2020-11-20,BERA,
2020-11-20,BRISA,
2020-11-20,BIMAS,
2020-11-20,BUCIM,
2020-11-20,ASELS,
2020-11-20,AYGAZ,
2020-11-20,ARCLK,
2020-11-20,YKBNK,
2020-11-20,VAKBN,
2020-11-20,ULKER,
2020-11-20,VESTL,
2020-11-20,VESBE,
2020-11-20,ENJSA,
2020-11-20,EKGYO,
2020-11-20,GUBRF,
2020-11-20,MPARK,
2020-11-20,ODAS,
2020-11-20,MGROS,
2020-11-20,LOGO,
2020-11-20,ISGYO,
2020-11-20,KCHOL,
2020-11-20,HEKTS,
2020-11-20,HALKB,
2020-11-20,THYAO,
2020-11-20,SOKM,
2020-11-20,TCELL,
2020-11-20,TAVHL,
2020-11-20,SISE,
2020-11-20,SAHOL,
2020-11-20,SKBNK,
2020-11-20,PETKM,
2020-11-20,TKNSA,
2020-11-20,INDES,
2020-11-20,DGATE,
2020-11-20,TUPRS,
2020-11-20,TOASO,
2020-11-20,TTRAK,
2020-11-20,KRDMD,
2020-11-20,ISCTR,
2020-11-20,TTKOM,
2020-11-20,ZOREN,
2020-11-20,OTKAR,
2020-11-23,AEFES,
2020-11-23,AGHOL,
2020-11-23,AKSA,
2020-11-23,EREGL,
2020-11-23,FROTO,
2020-11-23,BTCIM,
2020-11-23,CCOLA,
2020-11-23,PAPIL,
2020-11-23,TURSG,
2020-11-23,TKFEN,
2020-11-23,OYAKC,
2020-11-23,PGSUS,
2020-11-23,SASA,
2020-11-23,MAVI,
2020-11-23,BRYAT,
2020-11-23,AKFGY,
2020-11-23,AGESA,
2020-11-23,AKBNK,
2020-11-23,ASUZU,
2020-11-23,AKSEN,
2020-11-23,ANHYT,
2020-11-23,ALARK,
2020-11-23,ENKAI,
2020-11-23,EGEEN,
2020-11-23,BRSAN,
2020-11-23,CEMTS,
2020-11-23,ECILC,
2020-11-23,DOHOL,
2020-11-23,CIMSA,
2020-11-23,DOAS,
2020-11-23,GARAN,
2020-11-23,BERA,
2020-11-23,BRISA,
2020-11-23,BIMAS,
2020-11-23,BUCIM,
2020-11-23,ASELS,
2020-11-23,AYGAZ,
2020-11-23,ARCLK,
2020-11-23,YKBNK,
2020-11-23,VAKBN,
2020-11-23,ULKER,
2020-11-23,VESTL,
2020-11-23,VESBE,
2020-11-23,ENJSA,
2020-11-23,EKGYO,
2020-11-23,GUBRF,
2020-11-23,MPARK,
2020-11-23,ODAS,
2020-11-23,MGROS,
2020-11-23,LOGO,
